# Delta Green TRPG 术语表 — THE MILLENNIUM
# 格式: 中文译名<TAB>英文原名
# 以 # 开头的行为注释，会被忽略
#
# ===== 组织与机构 =====
绿色三角洲	Delta Green
放射性行动	radiological operation
陆战队突击团	Raider Regiment
推荐属性	recommended stats
休养	recuperation
区域办事处专家	Regional Office Specialist
遣返行动执法处	Removal Division
抑制疯狂	repress insanity
受限制	restricted
复苏	resuscitation
骑术	Ride
卷铺盖	rolled up
RQ-1 捕食者无人攻击机	RQ-1 Predator Unmanned Aerial Vehicle
中速跑	running
安全屋	safe house
制裁	sanction
搞卫生	sanitize
理智	Sanity points, SAN
科学	Science
科技部（FBI）	Science and Technilogy
剧本创作	Scriptwriting
搜寻	Search
镇定剂	sedatives
可选射击模式	selective fire
敏感但非密	Sensitive But Unclassified
敏感受限信息	sensitive compartmentalized information
浸过的羊	sheep-dipped
“鞋子”	shoe
短点射	short burst
短连射	short spray
兄弟姐妹	siblings
信号情报	SIGINT
“标志”	sign
技能	skill
技能专攻	skill (types)
大牢	slammer
睡眠障碍	Sleep Disorder
潜伏探员	sleeper
失眠	sleeplessness
戴告密者帽子	snitch jacketing
“肥皂”	soap
社会网络分析	social network analysis
特别访问项目	special access program
特别活动处（CIA）	Special Activities Division
特务	special agent
特种作战司令部	Special Operations Command
特种作战（DEA）	Special Operations Division
特种行动队（USMS）	Special Operations Group
特殊项目	special projects
特别应对小组（HSI）	Special Response Team
特训	special training
特种作战开发群	Special Warfare Development Group
（毒素与疾病）伤害间隔	speed
鬼	spook
疾跑	sprinting
稳定伤情	stabilization
常规开销	standard expense
站长	station chief
属性	statistic, stat
潜藏	Stealth
隐写术	steganography
被踩了	stepped on
灭菌	sterilization
兴奋剂	stimulants
力量	Strength, STR
特约探员	stringer
眩晕	stun
“潜水艇”	the Submarine
成功	success
西装	suit
压制	suppression
手术	Surgery
手术式打击	surgical strike
生存	Survival
特警队	SWAT Unit
游泳	Swim
对称作战	symmetrical warfare
战术行动小组（USMS）	Tactical Operations Division
有标签	tagged
“气缸”	the tank
受任	tasked
撕裂线	tear line
临时任务指示	temporary duty assignment
临时疯狂	temporary insanity
检定	test
人类不应知道之事	Things Man Was Not Meant to Know
一次性武器	throwaway
本职装备	Tools of the Trade
最高机密	top secret
折腾（行动术语）	toss
图腾强迫症	Totemic Compulsion
毒素战剂	toxin agent
流量分析	traffic analysis
流量盗贼	trafficthief
诊疗	treatment
战斗轮，轮	turn
转向者	turned
美国空军	U.S. Air Force
美国陆军	U.S. Army
美国陆军传染病医学研究院	U.S. Army Medical Research Institute of Infectious Diseases
海军陆战队	U.S. Marine Corps
美国海军	U.S. Navy
徒手搏斗	Unarmed Combat
非密	Unclassified
陷入昏迷	unconsciousness
非自然现象	the unnatural
非自然现象	the Unnatural
非自然知识	Unnatural
显著开销	unusual expense
幕间活动	vignette, home scene
暴力行为	violence
等待	Wait
进门客（情报界术语）	walk-in
守望者	watchers
大规模杀伤性武器	Weapon of Mass Destruction
西半球事务组	Western Hemisphere Affairs Regional Bureau
湿活	wetwork
毅力	Willpower points, WP
窗户装饰	window dressing
“导线”	wire
僵尸（情报界术语）	zombie
混寄虫	Dischorder
混寄虫	The Dischorder
《后事后办》	Last Things Last
《美好生活》	The Good Life
《傀儡戏与皮影戏》	Puppet Shows and Shadow Plays
《融合》	Convergence
《死信》	Dead Letter
《新时代》	New Age
《枭首山》	Owlshead Mountain
《绿色三角洲：控制组》	Delta Green: Control Group
《玄卫》	Blacksat
《夜视》	Night Visions
《复疾》	Sick Again
《苦艾圆剧场》	Wormwood Arena
《绿色三角洲：歌剧之夜》	Delta Green: A Night at the Opera
《残响》	Reverberations
《如胶似漆》	Viscid
《暗室传来的音乐》	Music from a Darkened Room
《嗜极体》	Extremophilia
《星室法庭》	The Star Chamber
《观察者效应》	Observer Effect
《绿色三角洲：黑色站点》	Delta Green: Black Sites
《悠哉扑克夜》	PX Poker Night
卡利山口	Kali Ghati
《最后的方程式》	The Last Equation
《凛冬狂恋》	Lover in the Ice
《甜心》	Sweetness
《沙漏镇》	Hourglass
《来自遗忘》	Ex Oblivione
《三分钟恐怖：孩童》	The Child
《秘密投递点》	Dead Drops
《子午线》	Meridian
《艺术的牺牲》	A Victim of the Art
《来自尘埃》	From the Dust
《降临》	Presence
《极寒》	Jack Frost
《未来/完美时》	Future/Perfect
《不可思议的风景》	Impossible Landscapes
《夜间楼层》	Night Floors
《碎神者》	Iconoclasts
《飨神猎齿》	God's Teeth
《神之狩猎》	God's Hunt
《全视之眼》	God's Eye
《神之息》	God's Breath
《神之律》	God's Law
《神钥辉光》	God's Light
新生命生育中心	New Life Fertility
离群症候群	The Lonely
播种者	The Sowers
普拉纳会社	The Prana Sodality
夏盖	Shan
政府项目	The Program
